CI: 1000005 | Edad:69 | Riesgo: 2
CI: 1000073 | Edad:45 | Riesgo: 1
CI: 1000095 | Edad:77 | Riesgo: 3
CI: 1000075 | Edad:40 | Riesgo: 2
CI: 1000096 | Edad:30 | Riesgo: 4
CI: 1000077 | Edad:29 | Riesgo: 2
CI: 1000097 | Edad:75 | Riesgo: 1
CI: 1000098 | Edad:64 | Riesgo: 2
CI: 1000075 | Edad:40 | Riesgo: 2
CI: 1000077 | Edad:29 | Riesgo: 2
CI: 1000099 | Edad:84 | Riesgo: 5
CI: 1000082 | Edad:35 | Riesgo: 4
CI: 1000081 | Edad:67 | Riesgo: 3
CI: 1000101 | Edad:45 | Riesgo: 1
CI: 1000083 | Edad:69 | Riesgo: 1
CI: 1000000 | Edad:66 | Riesgo: 4
CI: 1000103 | Edad:73 | Riesgo: 2
CI: 1000000 | Edad:66 | Riesgo: 4
CI: 1000003 | Edad:64 | Riesgo: 3
CI: 1000005 | Edad:69 | Riesgo: 2
CI: 1000003 | Edad:64 | Riesgo: 3
CI: 1000005 | Edad:69 | Riesgo: 2
CI: 1000013 | Edad:75 | Riesgo: 2
CI: 1000017 | Edad:73 | Riesgo: 5
CI: 1000017 | Edad:73 | Riesgo: 5
CI: 1000013 | Edad:75 | Riesgo: 2
CI: 1000019 | Edad:84 | Riesgo: 1
CI: 1000019 | Edad:84 | Riesgo: 1
CI: 1000020 | Edad:30 | Riesgo: 5
CI: 1000020 | Edad:30 | Riesgo: 5
CI: 1000021 | Edad:82 | Riesgo: 5
CI: 1000022 | Edad:86 | Riesgo: 5
CI: 1000021 | Edad:82 | Riesgo: 5
CI: 1000022 | Edad:86 | Riesgo: 5
CI: 1000024 | Edad:88 | Riesgo: 5
CI: 1000025 | Edad:81 | Riesgo: 3
CI: 1000025 | Edad:81 | Riesgo: 3
CI: 1000024 | Edad:88 | Riesgo: 5
CI: 1000028 | Edad:85 | Riesgo: 3
CI: 1000031 | Edad:66 | Riesgo: 4
CI: 1000028 | Edad:85 | Riesgo: 3
CI: 1000031 | Edad:66 | Riesgo: 4
CI: 1000032 | Edad:73 | Riesgo: 2
CI: 1000035 | Edad:79 | Riesgo: 1
CI: 1000032 | Edad:73 | Riesgo: 2
CI: 1000035 | Edad:79 | Riesgo: 1
CI: 1000038 | Edad:85 | Riesgo: 3
CI: 1000039 | Edad:81 | Riesgo: 2
CI: 1000038 | Edad:85 | Riesgo: 3
CI: 1000039 | Edad:81 | Riesgo: 2
CI: 1000041 | Edad:83 | Riesgo: 3
CI: 1000042 | Edad:77 | Riesgo: 4
CI: 1000043 | Edad:79 | Riesgo: 4
CI: 1000041 | Edad:83 | Riesgo: 3
CI: 1000042 | Edad:77 | Riesgo: 4
CI: 1000043 | Edad:79 | Riesgo: 4
CI: 1000050 | Edad:66 | Riesgo: 1
CI: 1000049 | Edad:82 | Riesgo: 5
CI: 1000049 | Edad:82 | Riesgo: 5
CI: 1000051 | Edad:66 | Riesgo: 3
CI: 1000050 | Edad:66 | Riesgo: 1
CI: 1000051 | Edad:66 | Riesgo: 3
CI: 1000053 | Edad:87 | Riesgo: 4
CI: 1000055 | Edad:88 | Riesgo: 3
CI: 1000055 | Edad:88 | Riesgo: 3
CI: 1000053 | Edad:87 | Riesgo: 4
CI: 1000057 | Edad:72 | Riesgo: 2
CI: 1000057 | Edad:72 | Riesgo: 2
CI: 1000065 | Edad:72 | Riesgo: 4
CI: 1000066 | Edad:67 | Riesgo: 3
CI: 1000065 | Edad:72 | Riesgo: 4
CI: 1000071 | Edad:52 | Riesgo: 2
CI: 1000066 | Edad:67 | Riesgo: 3
CI: 1000073 | Edad:45 | Riesgo: 1
CI: 1000073 | Edad:45 | Riesgo: 1
CI: 1000075 | Edad:40 | Riesgo: 2
CI: 1000075 | Edad:40 | Riesgo: 2
CI: 1000077 | Edad:29 | Riesgo: 2
CI: 1000077 | Edad:29 | Riesgo: 2
CI: 1000071 | Edad:52 | Riesgo: 2
CI: 1000082 | Edad:35 | Riesgo: 4
CI: 1000083 | Edad:69 | Riesgo: 1
CI: 1000081 | Edad:67 | Riesgo: 3
CI: 1000081 | Edad:67 | Riesgo: 3
CI: 1000082 | Edad:35 | Riesgo: 4
CI: 1000090 | Edad:46 | Riesgo: 1
CI: 1000083 | Edad:69 | Riesgo: 1
CI: 1000081 | Edad:67 | Riesgo: 3
CI: 1000090 | Edad:46 | Riesgo: 1
CI: 1000082 | Edad:35 | Riesgo: 4
CI: 1000092 | Edad:84 | Riesgo: 5
CI: 1000093 | Edad:73 | Riesgo: 1
CI: 1000083 | Edad:69 | Riesgo: 1
CI: 1000095 | Edad:77 | Riesgo: 3
CI: 1000093 | Edad:73 | Riesgo: 1
CI: 1000092 | Edad:84 | Riesgo: 5
CI: 1000108 | Edad:82 | Riesgo: 4
CI: 1000096 | Edad:30 | Riesgo: 4
CI: 1000097 | Edad:75 | Riesgo: 1
CI: 1000109 | Edad:73 | Riesgo: 1
CI: 1000095 | Edad:77 | Riesgo: 3
CI: 1000090 | Edad:46 | Riesgo: 1
CI: 1000098 | Edad:64 | Riesgo: 2
CI: 1000110 | Edad:69 | Riesgo: 5
CI: 1000096 | Edad:30 | Riesgo: 4
CI: 1000111 | Edad:81 | Riesgo: 3
CI: 1000097 | Edad:75 | Riesgo: 1
CI: 1000099 | Edad:84 | Riesgo: 5
CI: 1000092 | Edad:84 | Riesgo: 5
CI: 1000098 | Edad:64 | Riesgo: 2
CI: 1000090 | Edad:46 | Riesgo: 1
CI: 1000093 | Edad:73 | Riesgo: 1
CI: 1000101 | Edad:45 | Riesgo: 1
CI: 1000099 | Edad:84 | Riesgo: 5
CI: 1000092 | Edad:84 | Riesgo: 5
CI: 1000113 | Edad:77 | Riesgo: 4
CI: 1000114 | Edad:87 | Riesgo: 3
CI: 1000103 | Edad:73 | Riesgo: 2
CI: 1000093 | Edad:73 | Riesgo: 1
CI: 1000115 | Edad:52 | Riesgo: 1
CI: 1000095 | Edad:77 | Riesgo: 3
CI: 1000096 | Edad:30 | Riesgo: 4
CI: 1000095 | Edad:77 | Riesgo: 3
CI: 1000097 | Edad:75 | Riesgo: 1
CI: 1000101 | Edad:45 | Riesgo: 1
CI: 1000096 | Edad:30 | Riesgo: 4
CI: 1000098 | Edad:64 | Riesgo: 2
CI: 1000099 | Edad:84 | Riesgo: 5
CI: 1000119 | Edad:52 | Riesgo: 2
CI: 1000103 | Edad:73 | Riesgo: 2
CI: 1000097 | Edad:75 | Riesgo: 1
CI: 1000108 | Edad:82 | Riesgo: 4
CI: 1000101 | Edad:45 | Riesgo: 1
CI: 1000098 | Edad:64 | Riesgo: 2
CI: 1000109 | Edad:73 | Riesgo: 1
CI: 1000121 | Edad:89 | Riesgo: 1
CI: 1000110 | Edad:69 | Riesgo: 5
CI: 1000122 | Edad:78 | Riesgo: 2
CI: 1000099 | Edad:84 | Riesgo: 5
CI: 1000103 | Edad:73 | Riesgo: 2
CI: 1000108 | Edad:82 | Riesgo: 4
CI: 1000111 | Edad:81 | Riesgo: 3
CI: 1000101 | Edad:45 | Riesgo: 1
CI: 1000123 | Edad:74 | Riesgo: 2
CI: 1000110 | Edad:69 | Riesgo: 5
CI: 1000103 | Edad:73 | Riesgo: 2
CI: 1000109 | Edad:73 | Riesgo: 1
CI: 1000113 | Edad:77 | Riesgo: 4
CI: 1000124 | Edad:85 | Riesgo: 2
CI: 1000114 | Edad:87 | Riesgo: 3
CI: 1000115 | Edad:52 | Riesgo: 1
CI: 1000111 | Edad:81 | Riesgo: 3
CI: 1000108 | Edad:82 | Riesgo: 4
CI: 1000113 | Edad:77 | Riesgo: 4
CI: 1000109 | Edad:73 | Riesgo: 1
CI: 1000127 | Edad:80 | Riesgo: 1
CI: 1000114 | Edad:87 | Riesgo: 3
CI: 1000128 | Edad:68 | Riesgo: 1
CI: 1000115 | Edad:52 | Riesgo: 1
CI: 1000108 | Edad:82 | Riesgo: 4
CI: 1000119 | Edad:52 | Riesgo: 2
CI: 1000121 | Edad:89 | Riesgo: 1
CI: 1000122 | Edad:78 | Riesgo: 2
CI: 1000123 | Edad:74 | Riesgo: 2
CI: 1000119 | Edad:52 | Riesgo: 2
CI: 1000121 | Edad:89 | Riesgo: 1
CI: 1000124 | Edad:85 | Riesgo: 2
CI: 1000123 | Edad:74 | Riesgo: 2
CI: 1000122 | Edad:78 | Riesgo: 2
CI: 1000124 | Edad:85 | Riesgo: 2
CI: 1000127 | Edad:80 | Riesgo: 1
CI: 1000111 | Edad:81 | Riesgo: 3
CI: 1000128 | Edad:68 | Riesgo: 1
CI: 1000110 | Edad:69 | Riesgo: 5
CI: 1000113 | Edad:77 | Riesgo: 4
CI: 1000114 | Edad:87 | Riesgo: 3
CI: 1000134 | Edad:79 | Riesgo: 2
CI: 1000109 | Edad:73 | Riesgo: 1
CI: 1000115 | Edad:52 | Riesgo: 1
CI: 1000110 | Edad:69 | Riesgo: 5
CI: 1000137 | Edad:69 | Riesgo: 3
CI: 1000134 | Edad:79 | Riesgo: 2
CI: 1000111 | Edad:81 | Riesgo: 3
CI: 1000113 | Edad:77 | Riesgo: 4
CI: 1000119 | Edad:52 | Riesgo: 2
CI: 1000115 | Edad:52 | Riesgo: 1
CI: 1000142 | Edad:42 | Riesgo: 5
CI: 1000114 | Edad:87 | Riesgo: 3
CI: 1000121 | Edad:89 | Riesgo: 1
CI: 1000137 | Edad:69 | Riesgo: 3
CI: 1000143 | Edad:74 | Riesgo: 2
CI: 1000122 | Edad:78 | Riesgo: 2
CI: 1000144 | Edad:79 | Riesgo: 4
CI: 1000123 | Edad:74 | Riesgo: 2
CI: 1000119 | Edad:52 | Riesgo: 2
CI: 1000145 | Edad:60 | Riesgo: 2
CI: 1000146 | Edad:38 | Riesgo: 4
CI: 1000124 | Edad:85 | Riesgo: 2
CI: 1000121 | Edad:89 | Riesgo: 1
CI: 1000149 | Edad:75 | Riesgo: 1
CI: 1000150 | Edad:44 | Riesgo: 1
CI: 1000142 | Edad:42 | Riesgo: 5
CI: 1000122 | Edad:78 | Riesgo: 2
CI: 1000127 | Edad:80 | Riesgo: 1
CI: 1000152 | Edad:66 | Riesgo: 4
CI: 1000153 | Edad:84 | Riesgo: 2
CI: 1000123 | Edad:74 | Riesgo: 2
CI: 1000143 | Edad:74 | Riesgo: 2
CI: 1000128 | Edad:68 | Riesgo: 1
CI: 1000144 | Edad:79 | Riesgo: 4
CI: 1000155 | Edad:67 | Riesgo: 3
CI: 1000124 | Edad:85 | Riesgo: 2
CI: 1000145 | Edad:60 | Riesgo: 2
CI: 1000146 | Edad:38 | Riesgo: 4
CI: 1000128 | Edad:68 | Riesgo: 1
CI: 1000127 | Edad:80 | Riesgo: 1
CI: 1000160 | Edad:78 | Riesgo: 2
CI: 1000161 | Edad:75 | Riesgo: 3
CI: 1000163 | Edad:83 | Riesgo: 4
CI: 1000149 | Edad:75 | Riesgo: 1
CI: 1000150 | Edad:44 | Riesgo: 1
CI: 1000134 | Edad:79 | Riesgo: 2
CI: 1000152 | Edad:66 | Riesgo: 4
CI: 1000164 | Edad:86 | Riesgo: 4
CI: 1000168 | Edad:78 | Riesgo: 1
CI: 1000153 | Edad:84 | Riesgo: 2
CI: 1000137 | Edad:69 | Riesgo: 3
CI: 1000169 | Edad:67 | Riesgo: 1
CI: 1000134 | Edad:79 | Riesgo: 2
CI: 1000171 | Edad:58 | Riesgo: 5
CI: 1000155 | Edad:67 | Riesgo: 3
CI: 1000137 | Edad:69 | Riesgo: 3
CI: 1000175 | Edad:82 | Riesgo: 3
CI: 1000143 | Edad:74 | Riesgo: 2
CI: 1000142 | Edad:42 | Riesgo: 5
CI: 1000160 | Edad:78 | Riesgo: 2
CI: 1000144 | Edad:79 | Riesgo: 4
CI: 1000145 | Edad:60 | Riesgo: 2
CI: 1000161 | Edad:75 | Riesgo: 3
CI: 1000142 | Edad:42 | Riesgo: 5
CI: 1000146 | Edad:38 | Riesgo: 4
CI: 1000183 | Edad:83 | Riesgo: 5
CI: 1000163 | Edad:83 | Riesgo: 4
CI: 1000143 | Edad:74 | Riesgo: 2
CI: 1000164 | Edad:86 | Riesgo: 4
CI: 1000144 | Edad:79 | Riesgo: 4
CI: 1000184 | Edad:41 | Riesgo: 3
CI: 1000185 | Edad:70 | Riesgo: 5
CI: 1000149 | Edad:75 | Riesgo: 1
CI: 1000187 | Edad:29 | Riesgo: 1
CI: 1000145 | Edad:60 | Riesgo: 2
CI: 1000150 | Edad:44 | Riesgo: 1
CI: 1000188 | Edad:43 | Riesgo: 5
CI: 1000168 | Edad:78 | Riesgo: 1
CI: 1000152 | Edad:66 | Riesgo: 4
CI: 1000146 | Edad:38 | Riesgo: 4
CI: 1000169 | Edad:67 | Riesgo: 1
CI: 1000153 | Edad:84 | Riesgo: 2
CI: 1000171 | Edad:58 | Riesgo: 5
CI: 1000194 | Edad:75 | Riesgo: 1
CI: 1000149 | Edad:75 | Riesgo: 1
CI: 1000150 | Edad:44 | Riesgo: 1
CI: 1000155 | Edad:67 | Riesgo: 3
CI: 1000152 | Edad:66 | Riesgo: 4
CI: 1000153 | Edad:84 | Riesgo: 2
CI: 1000175 | Edad:82 | Riesgo: 3
CI: 1000160 | Edad:78 | Riesgo: 2
CI: 1000201 | Edad:42 | Riesgo: 2
CI: 1000155 | Edad:67 | Riesgo: 3
CI: 1000161 | Edad:75 | Riesgo: 3
CI: 1000203 | Edad:89 | Riesgo: 3
CI: 1000204 | Edad:34 | Riesgo: 3
CI: 1000163 | Edad:83 | Riesgo: 4
CI: 1000164 | Edad:86 | Riesgo: 4
CI: 1000206 | Edad:44 | Riesgo: 4
CI: 1000160 | Edad:78 | Riesgo: 2
CI: 1000207 | Edad:70 | Riesgo: 2
CI: 1000161 | Edad:75 | Riesgo: 3
CI: 1000183 | Edad:83 | Riesgo: 5
CI: 1000184 | Edad:41 | Riesgo: 3
CI: 1000168 | Edad:78 | Riesgo: 1
CI: 1000208 | Edad:64 | Riesgo: 3
CI: 1000163 | Edad:83 | Riesgo: 4
CI: 1000185 | Edad:70 | Riesgo: 5
CI: 1000169 | Edad:67 | Riesgo: 1
CI: 1000000 | Edad:66 | Riesgo: 4
CI: 1000187 | Edad:29 | Riesgo: 1
CI: 1000164 | Edad:86 | Riesgo: 4
CI: 1000171 | Edad:58 | Riesgo: 5
CI: 1000210 | Edad:87 | Riesgo: 3
CI: 1000188 | Edad:43 | Riesgo: 5
CI: 1000169 | Edad:67 | Riesgo: 1
CI: 1000168 | Edad:78 | Riesgo: 1
CI: 1000171 | Edad:58 | Riesgo: 5
CI: 1000175 | Edad:82 | Riesgo: 3
CI: 1000194 | Edad:75 | Riesgo: 1
CI: 1000215 | Edad:79 | Riesgo: 4
CI: 1000216 | Edad:81 | Riesgo: 3
CI: 1000175 | Edad:82 | Riesgo: 3
CI: 1000183 | Edad:83 | Riesgo: 5
CI: 1000218 | Edad:65 | Riesgo: 1
CI: 1000184 | Edad:41 | Riesgo: 3
CI: 1000185 | Edad:70 | Riesgo: 5
CI: 1000201 | Edad:42 | Riesgo: 2
CI: 1000220 | Edad:26 | Riesgo: 5
CI: 1000187 | Edad:29 | Riesgo: 1
CI: 1000203 | Edad:89 | Riesgo: 3
CI: 1000188 | Edad:43 | Riesgo: 5
CI: 1000221 | Edad:75 | Riesgo: 1
CI: 1000183 | Edad:83 | Riesgo: 5
CI: 1000204 | Edad:34 | Riesgo: 3
CI: 1000206 | Edad:44 | Riesgo: 4
CI: 1000184 | Edad:41 | Riesgo: 3
CI: 1000185 | Edad:70 | Riesgo: 5
CI: 1000207 | Edad:70 | Riesgo: 2
CI: 1000187 | Edad:29 | Riesgo: 1
CI: 1000188 | Edad:43 | Riesgo: 5
CI: 1000208 | Edad:64 | Riesgo: 3
CI: 1000210 | Edad:87 | Riesgo: 3
CI: 1000194 | Edad:75 | Riesgo: 1
CI: 1000228 | Edad:78 | Riesgo: 5
CI: 1000229 | Edad:77 | Riesgo: 3
CI: 1000232 | Edad:73 | Riesgo: 4
CI: 1000201 | Edad:42 | Riesgo: 2
CI: 1000216 | Edad:81 | Riesgo: 3
CI: 1000215 | Edad:79 | Riesgo: 4
CI: 1000194 | Edad:75 | Riesgo: 1
CI: 1000203 | Edad:89 | Riesgo: 3
CI: 1000218 | Edad:65 | Riesgo: 1
CI: 1000204 | Edad:34 | Riesgo: 3
CI: 1000239 | Edad:38 | Riesgo: 4
CI: 1000220 | Edad:26 | Riesgo: 5
CI: 1000221 | Edad:75 | Riesgo: 1
CI: 1000206 | Edad:44 | Riesgo: 4
CI: 1000241 | Edad:76 | Riesgo: 4
CI: 1000207 | Edad:70 | Riesgo: 2
CI: 1000208 | Edad:64 | Riesgo: 3
CI: 1000242 | Edad:69 | Riesgo: 3
CI: 1000201 | Edad:42 | Riesgo: 2
CI: 1000203 | Edad:89 | Riesgo: 3
CI: 1000210 | Edad:87 | Riesgo: 3
CI: 1000243 | Edad:83 | Riesgo: 3
CI: 1000204 | Edad:34 | Riesgo: 3
CI: 1000244 | Edad:70 | Riesgo: 5
CI: 1000228 | Edad:78 | Riesgo: 5
CI: 1000003 | Edad:64 | Riesgo: 3
CI: 1000206 | Edad:44 | Riesgo: 4
CI: 1000229 | Edad:77 | Riesgo: 3
CI: 1000207 | Edad:70 | Riesgo: 2
CI: 1000208 | Edad:64 | Riesgo: 3
CI: 1000248 | Edad:69 | Riesgo: 5
CI: 1000232 | Edad:73 | Riesgo: 4
CI: 1000215 | Edad:79 | Riesgo: 4
CI: 1000249 | Edad:88 | Riesgo: 5
CI: 1000210 | Edad:87 | Riesgo: 3
CI: 1000216 | Edad:81 | Riesgo: 3
CI: 1000250 | Edad:89 | Riesgo: 1
CI: 1000218 | Edad:65 | Riesgo: 1
CI: 1000253 | Edad:73 | Riesgo: 5
CI: 1000220 | Edad:26 | Riesgo: 5
CI: 1000254 | Edad:18 | Riesgo: 1
CI: 1000216 | Edad:81 | Riesgo: 3
CI: 1000221 | Edad:75 | Riesgo: 1
CI: 1000239 | Edad:38 | Riesgo: 4
CI: 1000215 | Edad:79 | Riesgo: 4
CI: 1000256 | Edad:85 | Riesgo: 4
CI: 1000257 | Edad:86 | Riesgo: 1
CI: 1000241 | Edad:76 | Riesgo: 4
CI: 1000218 | Edad:65 | Riesgo: 1
CI: 1000220 | Edad:26 | Riesgo: 5
CI: 1000242 | Edad:69 | Riesgo: 3
CI: 1000221 | Edad:75 | Riesgo: 1
CI: 1000243 | Edad:83 | Riesgo: 3
CI: 1000244 | Edad:70 | Riesgo: 5
CI: 1000260 | Edad:23 | Riesgo: 4
CI: 1000262 | Edad:27 | Riesgo: 2
CI: 1000228 | Edad:78 | Riesgo: 5
CI: 1000229 | Edad:77 | Riesgo: 3
CI: 1000264 | Edad:85 | Riesgo: 3
CI: 1000248 | Edad:69 | Riesgo: 5
CI: 1000249 | Edad:88 | Riesgo: 5
CI: 1000232 | Edad:73 | Riesgo: 4
CI: 1000250 | Edad:89 | Riesgo: 1
CI: 1000228 | Edad:78 | Riesgo: 5
CI: 1000267 | Edad:86 | Riesgo: 5
CI: 1000229 | Edad:77 | Riesgo: 3
CI: 1000253 | Edad:73 | Riesgo: 5
CI: 1000269 | Edad:81 | Riesgo: 1
CI: 1000254 | Edad:18 | Riesgo: 1
CI: 1000232 | Edad:73 | Riesgo: 4
CI: 1000270 | Edad:36 | Riesgo: 3
CI: 1000256 | Edad:85 | Riesgo: 4
CI: 1000272 | Edad:70 | Riesgo: 2
CI: 1000257 | Edad:86 | Riesgo: 1
CI: 1000239 | Edad:38 | Riesgo: 4
CI: 1000274 | Edad:75 | Riesgo: 2
CI: 1000275 | Edad:53 | Riesgo: 4
CI: 1000241 | Edad:76 | Riesgo: 4
CI: 1000276 | Edad:85 | Riesgo: 2
CI: 1000260 | Edad:23 | Riesgo: 4
CI: 1000242 | Edad:69 | Riesgo: 3
CI: 1000239 | Edad:38 | Riesgo: 4
CI: 1000243 | Edad:83 | Riesgo: 3
CI: 1000262 | Edad:27 | Riesgo: 2
CI: 1000244 | Edad:70 | Riesgo: 5
CI: 1000241 | Edad:76 | Riesgo: 4
CI: 1000279 | Edad:86 | Riesgo: 1
CI: 1000242 | Edad:69 | Riesgo: 3
CI: 1000244 | Edad:70 | Riesgo: 5
CI: 1000264 | Edad:85 | Riesgo: 3
CI: 1000267 | Edad:86 | Riesgo: 5
CI: 1000281 | Edad:86 | Riesgo: 2
CI: 1000249 | Edad:88 | Riesgo: 5
CI: 1000284 | Edad:74 | Riesgo: 5
CI: 1000283 | Edad:70 | Riesgo: 4
CI: 1000243 | Edad:83 | Riesgo: 3
CI: 1000286 | Edad:69 | Riesgo: 5
CI: 1000248 | Edad:69 | Riesgo: 5
CI: 1000248 | Edad:69 | Riesgo: 5
CI: 1000287 | Edad:70 | Riesgo: 1
CI: 1000249 | Edad:88 | Riesgo: 5
CI: 1000270 | Edad:36 | Riesgo: 3
CI: 1000250 | Edad:89 | Riesgo: 1
CI: 1000269 | Edad:81 | Riesgo: 1
CI: 1000250 | Edad:89 | Riesgo: 1
CI: 1000254 | Edad:18 | Riesgo: 1
CI: 1000272 | Edad:70 | Riesgo: 2
CI: 1000256 | Edad:85 | Riesgo: 4
CI: 1000274 | Edad:75 | Riesgo: 2
CI: 1000253 | Edad:73 | Riesgo: 5
CI: 1000257 | Edad:86 | Riesgo: 1
CI: 1000292 | Edad:88 | Riesgo: 3
CI: 1000254 | Edad:18 | Riesgo: 1
CI: 1000275 | Edad:53 | Riesgo: 4
CI: 1000276 | Edad:85 | Riesgo: 2
CI: 1000293 | Edad:80 | Riesgo: 5
CI: 1000294 | Edad:41 | Riesgo: 2
CI: 1000260 | Edad:23 | Riesgo: 4
CI: 1000256 | Edad:85 | Riesgo: 4
CI: 1000257 | Edad:86 | Riesgo: 1
CI: 1000279 | Edad:86 | Riesgo: 1
CI: 1000296 | Edad:71 | Riesgo: 3
CI: 1000262 | Edad:27 | Riesgo: 2
CI: 1000297 | Edad:80 | Riesgo: 2
CI: 1000298 | Edad:59 | Riesgo: 4
CI: 1000260 | Edad:23 | Riesgo: 4
CI: 1000264 | Edad:85 | Riesgo: 3
CI: 1000301 | Edad:68 | Riesgo: 3
CI: 1000281 | Edad:86 | Riesgo: 2
CI: 1000262 | Edad:27 | Riesgo: 2
CI: 1000283 | Edad:70 | Riesgo: 4
CI: 1000267 | Edad:86 | Riesgo: 5
CI: 1000284 | Edad:74 | Riesgo: 5
CI: 1000304 | Edad:83 | Riesgo: 4
CI: 1000306 | Edad:75 | Riesgo: 4
CI: 1000264 | Edad:85 | Riesgo: 3
CI: 1000269 | Edad:81 | Riesgo: 1
CI: 1000307 | Edad:74 | Riesgo: 4
CI: 1000286 | Edad:69 | Riesgo: 5
CI: 1000270 | Edad:36 | Riesgo: 3
CI: 1000287 | Edad:70 | Riesgo: 1
CI: 1000308 | Edad:67 | Riesgo: 3
CI: 1000309 | Edad:80 | Riesgo: 1
CI: 1000267 | Edad:86 | Riesgo: 5
CI: 1000310 | Edad:86 | Riesgo: 5
