--- REPORTE DIA 3 ---
ESTADISTICAS
- Cantidad de agendados:	32186
34)	CI: I-2-88 | Edad:88 | Riesgo: 4
35)	CI: I-5-83 | Edad:83 | Riesgo: 1
36)	CI: I-8-82 | Edad:82 | Riesgo: 3
37)	CI: I-9-70 | Edad:70 | Riesgo: 3
38)	CI: I-1-50 | Edad:50 | Riesgo: 2
39)	CI: I-0-74 | Edad:74 | Riesgo: 3
40)	CI: I-3-72 | Edad:72 | Riesgo: 5
41)	CI: I-6-60 | Edad:60 | Riesgo: 3
42)	CI: I-4-79 | Edad:79 | Riesgo: 4
43)	CI: I-2-76 | Edad:76 | Riesgo: 5
44)	CI: I-5-69 | Edad:69 | Riesgo: 1
45)	CI: I-9-89 | Edad:89 | Riesgo: 1
46)	CI: I-8-79 | Edad:79 | Riesgo: 5
47)	CI: I-1-22 | Edad:22 | Riesgo: 3
48)	CI: I-0-67 | Edad:67 | Riesgo: 4
49)	CI: I-3-72 | Edad:72 | Riesgo: 5
50)	CI: I-6-55 | Edad:55 | Riesgo: 2
51)	CI: I-4-88 | Edad:88 | Riesgo: 1
52)	CI: I-2-54 | Edad:54 | Riesgo: 4
53)	CI: I-5-80 | Edad:80 | Riesgo: 5
54)	CI: I-9-76 | Edad:76 | Riesgo: 2
55)	CI: I-8-85 | Edad:85 | Riesgo: 5
56)	CI: I-1-69 | Edad:69 | Riesgo: 2
57)	CI: I-0-67 | Edad:67 | Riesgo: 1
58)	CI: I-3-87 | Edad:87 | Riesgo: 3
59)	CI: I-6-75 | Edad:75 | Riesgo: 1
60)	CI: I-4-21 | Edad:21 | Riesgo: 4
61)	CI: I-2-49 | Edad:49 | Riesgo: 5
62)	CI: I-5-45 | Edad:45 | Riesgo: 1
63)	CI: I-9-87 | Edad:87 | Riesgo: 3
64)	CI: I-8-83 | Edad:83 | Riesgo: 5
65)	CI: I-1-80 | Edad:80 | Riesgo: 3
66)	CI: I-0-72 | Edad:72 | Riesgo: 4
67)	CI: I-3-75 | Edad:75 | Riesgo: 1
68)	CI: I-6-68 | Edad:68 | Riesgo: 1
69)	CI: I-4-72 | Edad:72 | Riesgo: 1
70)	CI: I-2-83 | Edad:83 | Riesgo: 5
71)	CI: I-5-78 | Edad:78 | Riesgo: 5
72)	CI: I-9-84 | Edad:84 | Riesgo: 2
73)	CI: I-8-85 | Edad:85 | Riesgo: 2
74)	CI: I-1-85 | Edad:85 | Riesgo: 5
75)	CI: I-0-52 | Edad:52 | Riesgo: 1
76)	CI: I-3-83 | Edad:83 | Riesgo: 4
77)	CI: I-6-29 | Edad:29 | Riesgo: 4
78)	CI: I-4-70 | Edad:70 | Riesgo: 5
79)	CI: I-2-81 | Edad:81 | Riesgo: 4
80)	CI: I-5-87 | Edad:87 | Riesgo: 4
81)	CI: I-9-56 | Edad:56 | Riesgo: 5
82)	CI: I-8-84 | Edad:84 | Riesgo: 2
83)	CI: I-1-73 | Edad:73 | Riesgo: 1
84)	CI: I-0-75 | Edad:75 | Riesgo: 4
85)	CI: I-3-69 | Edad:69 | Riesgo: 3
86)	CI: I-6-75 | Edad:75 | Riesgo: 2
87)	CI: I-4-69 | Edad:69 | Riesgo: 3
88)	CI: I-2-87 | Edad:87 | Riesgo: 4
89)	CI: I-5-67 | Edad:67 | Riesgo: 4
90)	CI: I-9-38 | Edad:38 | Riesgo: 4
91)	CI: I-8-68 | Edad:68 | Riesgo: 4
92)	CI: I-1-49 | Edad:49 | Riesgo: 1
93)	CI: I-0-19 | Edad:19 | Riesgo: 5
94)	CI: I-3-49 | Edad:49 | Riesgo: 2
95)	CI: I-6-52 | Edad:52 | Riesgo: 5
96)	CI: I-4-75 | Edad:75 | Riesgo: 1
97)	CI: I-2-80 | Edad:80 | Riesgo: 1
98)	CI: I-5-75 | Edad:75 | Riesgo: 3
99)	CI: I-9-19 | Edad:19 | Riesgo: 4
100)	CI: I-8-30 | Edad:30 | Riesgo: 1
101)	CI: I-1-66 | Edad:66 | Riesgo: 5
102)	CI: I-0-78 | Edad:78 | Riesgo: 1
103)	CI: I-3-60 | Edad:60 | Riesgo: 4
104)	CI: I-6-39 | Edad:39 | Riesgo: 4
105)	CI: I-4-77 | Edad:77 | Riesgo: 2
106)	CI: I-2-33 | Edad:33 | Riesgo: 4
107)	CI: I-5-85 | Edad:85 | Riesgo: 5
108)	CI: I-9-66 | Edad:66 | Riesgo: 1
109)	CI: I-8-71 | Edad:71 | Riesgo: 1
110)	CI: I-1-37 | Edad:37 | Riesgo: 4
111)	CI: I-0-74 | Edad:74 | Riesgo: 2
112)	CI: I-3-78 | Edad:78 | Riesgo: 5
113)	CI: I-6-49 | Edad:49 | Riesgo: 3
114)	CI: I-4-86 | Edad:86 | Riesgo: 2
115)	CI: I-2-64 | Edad:64 | Riesgo: 4
116)	CI: I-9-57 | Edad:57 | Riesgo: 1
117)	CI: I-5-29 | Edad:29 | Riesgo: 5
118)	CI: I-8-44 | Edad:44 | Riesgo: 4
119)	CI: I-1-58 | Edad:58 | Riesgo: 4
120)	CI: I-0-66 | Edad:66 | Riesgo: 5
121)	CI: I-3-78 | Edad:78 | Riesgo: 1
122)	CI: I-6-47 | Edad:47 | Riesgo: 3
123)	CI: I-4-32 | Edad:32 | Riesgo: 2
124)	CI: I-2-85 | Edad:85 | Riesgo: 1
125)	CI: I-9-73 | Edad:73 | Riesgo: 2
126)	CI: I-5-65 | Edad:65 | Riesgo: 3
127)	CI: I-8-48 | Edad:48 | Riesgo: 5
128)	CI: I-0-67 | Edad:67 | Riesgo: 2
129)	CI: I-1-72 | Edad:72 | Riesgo: 4
130)	CI: I-3-41 | Edad:41 | Riesgo: 3
131)	CI: I-6-83 | Edad:83 | Riesgo: 3
132)	CI: I-4-89 | Edad:89 | Riesgo: 1
133)	CI: I-2-73 | Edad:73 | Riesgo: 5
134)	CI: I-9-40 | Edad:40 | Riesgo: 5
135)	CI: I-5-83 | Edad:83 | Riesgo: 1
136)	CI: I-8-42 | Edad:42 | Riesgo: 5
137)	CI: I-0-83 | Edad:83 | Riesgo: 3
138)	CI: I-1-50 | Edad:50 | Riesgo: 1
139)	CI: I-3-28 | Edad:28 | Riesgo: 3
140)	CI: I-6-82 | Edad:82 | Riesgo: 2
141)	CI: I-4-27 | Edad:27 | Riesgo: 1
142)	CI: I-2-75 | Edad:75 | Riesgo: 5
143)	CI: I-9-24 | Edad:24 | Riesgo: 4
144)	CI: I-5-85 | Edad:85 | Riesgo: 3
145)	CI: I-8-70 | Edad:70 | Riesgo: 2
146)	CI: I-0-24 | Edad:24 | Riesgo: 5
147)	CI: I-1-85 | Edad:85 | Riesgo: 4
148)	CI: I-3-66 | Edad:66 | Riesgo: 4
149)	CI: I-6-83 | Edad:83 | Riesgo: 5
150)	CI: I-4-84 | Edad:84 | Riesgo: 3
151)	CI: I-2-69 | Edad:69 | Riesgo: 4
152)	CI: I-9-18 | Edad:18 | Riesgo: 2
153)	CI: I-5-71 | Edad:71 | Riesgo: 3
154)	CI: I-8-67 | Edad:67 | Riesgo: 3
155)	CI: I-0-82 | Edad:82 | Riesgo: 4
156)	CI: I-1-62 | Edad:62 | Riesgo: 1
157)	CI: I-3-24 | Edad:24 | Riesgo: 3
158)	CI: I-6-81 | Edad:81 | Riesgo: 5
159)	CI: I-4-73 | Edad:73 | Riesgo: 1
160)	CI: I-2-28 | Edad:28 | Riesgo: 2
161)	CI: I-9-76 | Edad:76 | Riesgo: 4
162)	CI: I-5-85 | Edad:85 | Riesgo: 1
163)	CI: I-8-86 | Edad:86 | Riesgo: 1
164)	CI: I-0-76 | Edad:76 | Riesgo: 5
165)	CI: I-1-74 | Edad:74 | Riesgo: 2
166)	CI: I-6-34 | Edad:34 | Riesgo: 3
167)	CI: I-3-61 | Edad:61 | Riesgo: 1
168)	CI: I-4-71 | Edad:71 | Riesgo: 5
169)	CI: I-2-47 | Edad:47 | Riesgo: 5
170)	CI: I-9-31 | Edad:31 | Riesgo: 3
171)	CI: I-5-43 | Edad:43 | Riesgo: 3
172)	CI: I-8-69 | Edad:69 | Riesgo: 3
173)	CI: I-0-69 | Edad:69 | Riesgo: 4
174)	CI: I-1-34 | Edad:34 | Riesgo: 1
175)	CI: I-6-66 | Edad:66 | Riesgo: 3
176)	CI: I-3-87 | Edad:87 | Riesgo: 3
177)	CI: I-4-74 | Edad:74 | Riesgo: 2
178)	CI: I-2-76 | Edad:76 | Riesgo: 3
179)	CI: I-5-54 | Edad:54 | Riesgo: 1
180)	CI: I-9-78 | Edad:78 | Riesgo: 3
181)	CI: I-8-70 | Edad:70 | Riesgo: 3
182)	CI: I-0-79 | Edad:79 | Riesgo: 3
183)	CI: I-1-47 | Edad:47 | Riesgo: 5
184)	CI: I-6-54 | Edad:54 | Riesgo: 4
185)	CI: I-3-69 | Edad:69 | Riesgo: 2
186)	CI: I-4-28 | Edad:28 | Riesgo: 4
187)	CI: I-2-86 | Edad:86 | Riesgo: 5
188)	CI: I-5-29 | Edad:29 | Riesgo: 4
189)	CI: I-9-77 | Edad:77 | Riesgo: 1
190)	CI: I-8-71 | Edad:71 | Riesgo: 4
191)	CI: I-0-78 | Edad:78 | Riesgo: 4
192)	CI: I-1-83 | Edad:83 | Riesgo: 2
193)	CI: I-6-75 | Edad:75 | Riesgo: 3
194)	CI: I-3-71 | Edad:71 | Riesgo: 1
195)	CI: I-4-66 | Edad:66 | Riesgo: 2
196)	CI: I-2-68 | Edad:68 | Riesgo: 3
197)	CI: I-5-41 | Edad:41 | Riesgo: 5
198)	CI: I-9-80 | Edad:80 | Riesgo: 2
199)	CI: I-8-66 | Edad:66 | Riesgo: 5
200)	CI: I-0-85 | Edad:85 | Riesgo: 5
201)	CI: I-1-68 | Edad:68 | Riesgo: 4
202)	CI: I-6-87 | Edad:87 | Riesgo: 1
203)	CI: I-3-59 | Edad:59 | Riesgo: 3
204)	CI: I-4-88 | Edad:88 | Riesgo: 4
205)	CI: I-2-77 | Edad:77 | Riesgo: 4
206)	CI: I-5-66 | Edad:66 | Riesgo: 2
207)	CI: I-9-74 | Edad:74 | Riesgo: 2
208)	CI: I-8-73 | Edad:73 | Riesgo: 5
209)	CI: I-0-38 | Edad:38 | Riesgo: 2
210)	CI: I-1-76 | Edad:76 | Riesgo: 4
211)	CI: I-6-27 | Edad:27 | Riesgo: 3
212)	CI: I-3-25 | Edad:25 | Riesgo: 1
213)	CI: I-4-79 | Edad:79 | Riesgo: 3
214)	CI: I-2-76 | Edad:76 | Riesgo: 4
215)	CI: I-5-75 | Edad:75 | Riesgo: 4
216)	CI: I-9-56 | Edad:56 | Riesgo: 4
217)	CI: I-0-81 | Edad:81 | Riesgo: 4
218)	CI: I-8-89 | Edad:89 | Riesgo: 3
219)	CI: I-1-67 | Edad:67 | Riesgo: 2
220)	CI: I-6-55 | Edad:55 | Riesgo: 4
221)	CI: I-3-62 | Edad:62 | Riesgo: 4
222)	CI: I-4-52 | Edad:52 | Riesgo: 3
223)	CI: I-2-81 | Edad:81 | Riesgo: 4
224)	CI: I-5-80 | Edad:80 | Riesgo: 5
225)	CI: I-0-85 | Edad:85 | Riesgo: 4
226)	CI: I-9-70 | Edad:70 | Riesgo: 2
227)	CI: I-8-81 | Edad:81 | Riesgo: 5
228)	CI: I-1-67 | Edad:67 | Riesgo: 5
229)	CI: I-6-31 | Edad:31 | Riesgo: 1
230)	CI: I-3-77 | Edad:77 | Riesgo: 5
231)	CI: I-4-36 | Edad:36 | Riesgo: 4
232)	CI: I-2-67 | Edad:67 | Riesgo: 5
233)	CI: I-0-57 | Edad:57 | Riesgo: 4
234)	CI: I-5-65 | Edad:65 | Riesgo: 1
235)	CI: I-9-88 | Edad:88 | Riesgo: 4
236)	CI: I-8-80 | Edad:80 | Riesgo: 3
237)	CI: I-1-72 | Edad:72 | Riesgo: 1
238)	CI: I-6-54 | Edad:54 | Riesgo: 3
239)	CI: I-3-20 | Edad:20 | Riesgo: 4
240)	CI: I-4-32 | Edad:32 | Riesgo: 5
241)	CI: I-2-43 | Edad:43 | Riesgo: 1
242)	CI: I-0-19 | Edad:19 | Riesgo: 1
243)	CI: I-5-55 | Edad:55 | Riesgo: 4
244)	CI: I-9-63 | Edad:63 | Riesgo: 2
245)	CI: I-8-75 | Edad:75 | Riesgo: 3
246)	CI: I-1-86 | Edad:86 | Riesgo: 4
247)	CI: I-6-77 | Edad:77 | Riesgo: 1
248)	CI: I-3-79 | Edad:79 | Riesgo: 2
249)	CI: I-4-87 | Edad:87 | Riesgo: 5
250)	CI: I-2-75 | Edad:75 | Riesgo: 2
251)	CI: I-0-55 | Edad:55 | Riesgo: 3
252)	CI: I-5-54 | Edad:54 | Riesgo: 5
253)	CI: I-9-81 | Edad:81 | Riesgo: 3
254)	CI: I-8-85 | Edad:85 | Riesgo: 4
255)	CI: I-1-68 | Edad:68 | Riesgo: 4
256)	CI: I-6-84 | Edad:84 | Riesgo: 4
257)	CI: I-3-83 | Edad:83 | Riesgo: 3
258)	CI: I-4-87 | Edad:87 | Riesgo: 1
259)	CI: I-2-85 | Edad:85 | Riesgo: 5
260)	CI: I-0-83 | Edad:83 | Riesgo: 5
261)	CI: I-5-75 | Edad:75 | Riesgo: 3
262)	CI: I-9-60 | Edad:60 | Riesgo: 4
263)	CI: I-8-74 | Edad:74 | Riesgo: 3
264)	CI: I-1-66 | Edad:66 | Riesgo: 4
265)	CI: I-6-30 | Edad:30 | Riesgo: 5
266)	CI: I-3-83 | Edad:83 | Riesgo: 5
267)	CI: I-4-81 | Edad:81 | Riesgo: 4
268)	CI: I-2-49 | Edad:49 | Riesgo: 3
269)	CI: I-0-86 | Edad:86 | Riesgo: 5
270)	CI: I-5-59 | Edad:59 | Riesgo: 4
271)	CI: I-9-77 | Edad:77 | Riesgo: 5
272)	CI: I-8-68 | Edad:68 | Riesgo: 2
273)	CI: I-1-77 | Edad:77 | Riesgo: 4
274)	CI: I-6-70 | Edad:70 | Riesgo: 3
275)	CI: I-3-46 | Edad:46 | Riesgo: 1
276)	CI: I-4-70 | Edad:70 | Riesgo: 5
277)	CI: I-2-76 | Edad:76 | Riesgo: 1
278)	CI: I-0-63 | Edad:63 | Riesgo: 5
279)	CI: I-5-31 | Edad:31 | Riesgo: 2
280)	CI: I-9-59 | Edad:59 | Riesgo: 2
281)	CI: I-8-66 | Edad:66 | Riesgo: 1
282)	CI: I-1-84 | Edad:84 | Riesgo: 4
283)	CI: I-6-87 | Edad:87 | Riesgo: 3
284)	CI: I-3-66 | Edad:66 | Riesgo: 3
285)	CI: I-4-66 | Edad:66 | Riesgo: 2
286)	CI: I-2-68 | Edad:68 | Riesgo: 2
287)	CI: I-0-89 | Edad:89 | Riesgo: 4
288)	CI: I-5-58 | Edad:58 | Riesgo: 4
289)	CI: I-9-87 | Edad:87 | Riesgo: 5
290)	CI: I-8-45 | Edad:45 | Riesgo: 2
291)	CI: I-1-66 | Edad:66 | Riesgo: 1
292)	CI: I-6-79 | Edad:79 | Riesgo: 2
293)	CI: I-3-81 | Edad:81 | Riesgo: 3
294)	CI: I-4-77 | Edad:77 | Riesgo: 2
295)	CI: I-2-71 | Edad:71 | Riesgo: 3
296)	CI: I-0-40 | Edad:40 | Riesgo: 5
297)	CI: I-5-75 | Edad:75 | Riesgo: 4
298)	CI: I-9-72 | Edad:72 | Riesgo: 1
299)	CI: I-8-71 | Edad:71 | Riesgo: 3
300)	CI: I-1-87 | Edad:87 | Riesgo: 4
301)	CI: I-6-63 | Edad:63 | Riesgo: 1
302)	CI: I-3-85 | Edad:85 | Riesgo: 2
303)	CI: I-4-81 | Edad:81 | Riesgo: 2
304)	CI: I-2-89 | Edad:89 | Riesgo: 1
305)	CI: I-0-72 | Edad:72 | Riesgo: 5
306)	CI: I-5-54 | Edad:54 | Riesgo: 2
307)	CI: I-9-88 | Edad:88 | Riesgo: 4
308)	CI: I-8-77 | Edad:77 | Riesgo: 1
309)	CI: I-1-79 | Edad:79 | Riesgo: 1
310)	CI: I-6-68 | Edad:68 | Riesgo: 2
311)	CI: I-3-41 | Edad:41 | Riesgo: 3
312)	CI: I-4-73 | Edad:73 | Riesgo: 2
313)	CI: I-2-80 | Edad:80 | Riesgo: 4
314)	CI: I-0-84 | Edad:84 | Riesgo: 3
315)	CI: I-5-75 | Edad:75 | Riesgo: 1
316)	CI: I-9-82 | Edad:82 | Riesgo: 3
317)	CI: I-8-52 | Edad:52 | Riesgo: 4
318)	CI: I-1-71 | Edad:71 | Riesgo: 5
319)	CI: I-6-83 | Edad:83 | Riesgo: 3
320)	CI: I-3-40 | Edad:40 | Riesgo: 5
321)	CI: I-4-83 | Edad:83 | Riesgo: 4
322)	CI: I-2-77 | Edad:77 | Riesgo: 4
323)	CI: I-0-36 | Edad:36 | Riesgo: 5
324)	CI: I-5-70 | Edad:70 | Riesgo: 2
325)	CI: I-9-87 | Edad:87 | Riesgo: 2
326)	CI: I-8-72 | Edad:72 | Riesgo: 3
327)	CI: I-1-66 | Edad:66 | Riesgo: 1
328)	CI: I-6-25 | Edad:25 | Riesgo: 4
329)	CI: I-3-68 | Edad:68 | Riesgo: 3
330)	CI: I-4-82 | Edad:82 | Riesgo: 5
331)	CI: I-2-86 | Edad:86 | Riesgo: 4
332)	CI: I-0-69 | Edad:69 | Riesgo: 2
333)	CI: I-5-86 | Edad:86 | Riesgo: 2
334)	CI: I-9-87 | Edad:87 | Riesgo: 1
335)	CI: I-8-77 | Edad:77 | Riesgo: 1
336)	CI: I-1-33 | Edad:33 | Riesgo: 4
337)	CI: I-6-69 | Edad:69 | Riesgo: 5
338)	CI: I-3-88 | Edad:88 | Riesgo: 2
339)	CI: I-4-82 | Edad:82 | Riesgo: 2
340)	CI: I-2-79 | Edad:79 | Riesgo: 5
341)	CI: I-0-64 | Edad:64 | Riesgo: 2
342)	CI: I-5-25 | Edad:25 | Riesgo: 1
343)	CI: I-9-83 | Edad:83 | Riesgo: 3
344)	CI: I-8-81 | Edad:81 | Riesgo: 3
345)	CI: I-1-57 | Edad:57 | Riesgo: 2
346)	CI: I-6-86 | Edad:86 | Riesgo: 2
347)	CI: I-3-71 | Edad:71 | Riesgo: 2
348)	CI: I-4-69 | Edad:69 | Riesgo: 3
349)	CI: I-2-85 | Edad:85 | Riesgo: 2
350)	CI: I-0-72 | Edad:72 | Riesgo: 3
351)	CI: I-5-43 | Edad:43 | Riesgo: 2
352)	CI: I-9-78 | Edad:78 | Riesgo: 3
353)	CI: I-8-29 | Edad:29 | Riesgo: 3
354)	CI: I-1-72 | Edad:72 | Riesgo: 5
355)	CI: I-6-65 | Edad:65 | Riesgo: 3
356)	CI: I-3-76 | Edad:76 | Riesgo: 5
357)	CI: I-4-67 | Edad:67 | Riesgo: 2
358)	CI: I-2-71 | Edad:71 | Riesgo: 1
359)	CI: I-0-72 | Edad:72 | Riesgo: 5
360)	CI: I-5-79 | Edad:79 | Riesgo: 3
361)	CI: I-9-77 | Edad:77 | Riesgo: 4
362)	CI: I-8-53 | Edad:53 | Riesgo: 2
363)	CI: I-1-59 | Edad:59 | Riesgo: 5
364)	CI: I-6-52 | Edad:52 | Riesgo: 5
365)	CI: I-3-82 | Edad:82 | Riesgo: 4
366)	CI: I-4-73 | Edad:73 | Riesgo: 1
367)	CI: I-2-34 | Edad:34 | Riesgo: 4
368)	CI: I-0-68 | Edad:68 | Riesgo: 3
369)	CI: I-5-80 | Edad:80 | Riesgo: 5
370)	CI: I-9-18 | Edad:18 | Riesgo: 4
371)	CI: I-8-22 | Edad:22 | Riesgo: 1
372)	CI: I-1-81 | Edad:81 | Riesgo: 4
373)	CI: I-6-68 | Edad:68 | Riesgo: 4
374)	CI: I-3-66 | Edad:66 | Riesgo: 3
375)	CI: I-4-75 | Edad:75 | Riesgo: 4
376)	CI: I-2-64 | Edad:64 | Riesgo: 3
377)	CI: I-0-83 | Edad:83 | Riesgo: 1
378)	CI: I-5-71 | Edad:71 | Riesgo: 1
379)	CI: I-9-71 | Edad:71 | Riesgo: 4
380)	CI: I-8-76 | Edad:76 | Riesgo: 5
381)	CI: I-1-67 | Edad:67 | Riesgo: 2
382)	CI: I-6-82 | Edad:82 | Riesgo: 5
383)	CI: I-3-53 | Edad:53 | Riesgo: 2
384)	CI: I-4-85 | Edad:85 | Riesgo: 1
385)	CI: I-2-74 | Edad:74 | Riesgo: 5
386)	CI: I-0-45 | Edad:45 | Riesgo: 2
387)	CI: I-5-50 | Edad:50 | Riesgo: 3
388)	CI: I-9-69 | Edad:69 | Riesgo: 3
389)	CI: I-8-88 | Edad:88 | Riesgo: 1
390)	CI: I-1-69 | Edad:69 | Riesgo: 3
391)	CI: I-6-64 | Edad:64 | Riesgo: 4
392)	CI: I-3-73 | Edad:73 | Riesgo: 4
393)	CI: I-4-87 | Edad:87 | Riesgo: 4
394)	CI: I-2-80 | Edad:80 | Riesgo: 1
395)	CI: I-0-50 | Edad:50 | Riesgo: 5
396)	CI: I-5-19 | Edad:19 | Riesgo: 4
397)	CI: I-9-69 | Edad:69 | Riesgo: 2
398)	CI: I-8-87 | Edad:87 | Riesgo: 4
399)	CI: I-1-47 | Edad:47 | Riesgo: 3
400)	CI: I-6-81 | Edad:81 | Riesgo: 2
401)	CI: I-3-58 | Edad:58 | Riesgo: 2
402)	CI: I-4-88 | Edad:88 | Riesgo: 3
403)	CI: I-2-65 | Edad:65 | Riesgo: 4
404)	CI: I-0-72 | Edad:72 | Riesgo: 5
405)	CI: I-5-88 | Edad:88 | Riesgo: 4
406)	CI: I-9-41 | Edad:41 | Riesgo: 3
407)	CI: I-8-58 | Edad:58 | Riesgo: 2
408)	CI: I-1-80 | Edad:80 | Riesgo: 5
409)	CI: I-6-85 | Edad:85 | Riesgo: 4
410)	CI: I-3-80 | Edad:80 | Riesgo: 3
411)	CI: I-4-52 | Edad:52 | Riesgo: 4
412)	CI: I-2-35 | Edad:35 | Riesgo: 5
413)	CI: I-0-84 | Edad:84 | Riesgo: 4
414)	CI: I-5-66 | Edad:66 | Riesgo: 3
415)	CI: I-9-72 | Edad:72 | Riesgo: 1
416)	CI: I-8-86 | Edad:86 | Riesgo: 2
417)	CI: I-1-71 | Edad:71 | Riesgo: 3
418)	CI: I-6-71 | Edad:71 | Riesgo: 3
419)	CI: I-3-67 | Edad:67 | Riesgo: 2
420)	CI: I-4-40 | Edad:40 | Riesgo: 2
421)	CI: I-2-72 | Edad:72 | Riesgo: 3
422)	CI: I-0-25 | Edad:25 | Riesgo: 2
423)	CI: I-5-70 | Edad:70 | Riesgo: 5
424)	CI: I-9-31 | Edad:31 | Riesgo: 4
425)	CI: I-8-86 | Edad:86 | Riesgo: 1
426)	CI: I-1-19 | Edad:19 | Riesgo: 2
427)	CI: I-6-54 | Edad:54 | Riesgo: 5
428)	CI: I-3-47 | Edad:47 | Riesgo: 3
429)	CI: I-4-85 | Edad:85 | Riesgo: 1
430)	CI: I-2-77 | Edad:77 | Riesgo: 3
431)	CI: I-0-79 | Edad:79 | Riesgo: 3
432)	CI: I-5-20 | Edad:20 | Riesgo: 5
433)	CI: I-9-71 | Edad:71 | Riesgo: 5
434)	CI: I-8-60 | Edad:60 | Riesgo: 3
435)	CI: I-1-84 | Edad:84 | Riesgo: 5
436)	CI: I-6-78 | Edad:78 | Riesgo: 2
437)	CI: I-3-81 | Edad:81 | Riesgo: 5
438)	CI: I-4-88 | Edad:88 | Riesgo: 4
439)	CI: I-2-69 | Edad:69 | Riesgo: 5
440)	CI: I-0-81 | Edad:81 | Riesgo: 2
441)	CI: I-5-89 | Edad:89 | Riesgo: 1
442)	CI: I-9-79 | Edad:79 | Riesgo: 4
443)	CI: I-8-86 | Edad:86 | Riesgo: 2
444)	CI: I-1-68 | Edad:68 | Riesgo: 5
445)	CI: I-6-22 | Edad:22 | Riesgo: 3
446)	CI: I-3-79 | Edad:79 | Riesgo: 3
447)	CI: I-4-84 | Edad:84 | Riesgo: 4
448)	CI: I-2-89 | Edad:89 | Riesgo: 1
449)	CI: I-0-86 | Edad:86 | Riesgo: 4
450)	CI: I-5-67 | Edad:67 | Riesgo: 4
451)	CI: I-9-85 | Edad:85 | Riesgo: 1
452)	CI: I-8-89 | Edad:89 | Riesgo: 3
453)	CI: I-1-66 | Edad:66 | Riesgo: 1
454)	CI: I-6-50 | Edad:50 | Riesgo: 5
455)	CI: I-3-69 | Edad:69 | Riesgo: 1
456)	CI: I-4-67 | Edad:67 | Riesgo: 5
457)	CI: I-2-84 | Edad:84 | Riesgo: 5
458)	CI: I-0-50 | Edad:50 | Riesgo: 1
459)	CI: I-5-66 | Edad:66 | Riesgo: 4
460)	CI: I-9-69 | Edad:69 | Riesgo: 1
461)	CI: I-8-19 | Edad:19 | Riesgo: 2
462)	CI: I-1-18 | Edad:18 | Riesgo: 2
463)	CI: I-6-68 | Edad:68 | Riesgo: 2
464)	CI: I-3-85 | Edad:85 | Riesgo: 3
465)	CI: I-4-40 | Edad:40 | Riesgo: 4
466)	CI: I-2-69 | Edad:69 | Riesgo: 5
467)	CI: I-0-82 | Edad:82 | Riesgo: 4
468)	CI: I-5-85 | Edad:85 | Riesgo: 3
469)	CI: I-9-80 | Edad:80 | Riesgo: 5
470)	CI: I-8-57 | Edad:57 | Riesgo: 1
471)	CI: I-1-71 | Edad:71 | Riesgo: 3
472)	CI: I-6-70 | Edad:70 | Riesgo: 5
473)	CI: I-3-79 | Edad:79 | Riesgo: 3
474)	CI: I-4-72 | Edad:72 | Riesgo: 4
475)	CI: I-2-77 | Edad:77 | Riesgo: 2
476)	CI: I-0-32 | Edad:32 | Riesgo: 1
477)	CI: I-5-69 | Edad:69 | Riesgo: 3
478)	CI: I-9-31 | Edad:31 | Riesgo: 3
